iter	Logloss
0	0.6424424923
1	0.6013715555
2	0.570854863
3	0.5460861662
4	0.5261009346
5	0.5081832123
6	0.4938251247
7	0.482935109
8	0.4734799175
9	0.4670754352
10	0.4585631444
11	0.4494605873
12	0.4443965483
13	0.4400893615
14	0.4357341364
15	0.4309794591
16	0.4243940193
17	0.4197107372
18	0.4163239943
19	0.413518834
20	0.4106367753
21	0.4080671826
22	0.4059706502
23	0.4031318246
24	0.4014465085
25	0.3984203301
26	0.3970780852
27	0.3950552575
28	0.3922181921
29	0.3900157462
30	0.3875204107
31	0.3857516787
32	0.3843025087
33	0.3832585077
34	0.3821579478
35	0.3798059635
36	0.3782663559
37	0.3770264947
38	0.3752858427
39	0.3744913852
40	0.3731871247
41	0.3708094755
42	0.3703955568
43	0.3685337036
44	0.3668139894
45	0.3650021624
46	0.3638591715
47	0.3620646353
48	0.3612711225
49	0.3603624557
50	0.3591553795
51	0.3574505691
52	0.3561813654
53	0.3544414813
54	0.3528379585
55	0.3501398406
56	0.3490199917
57	0.3472971255
58	0.3460539919
59	0.3447504063
60	0.3428732701
61	0.3407935928
62	0.3396523972
63	0.337704448
64	0.3363499936
65	0.3349723438
66	0.3340435208
67	0.3329043724
68	0.3314945308
69	0.3300888063
70	0.3286548916
71	0.3273028929
72	0.3249280362
73	0.3233827377
74	0.3218960446
75	0.3213790191
76	0.3193578174
77	0.3184813532
78	0.316848685
79	0.3156970326
80	0.3148105463
81	0.3136784144
82	0.3128610328
83	0.3123541507
84	0.3118267702
85	0.3104225408
86	0.3090099625
87	0.3075713429
88	0.3067190149
89	0.3058841317
90	0.3046086652
91	0.3035276804
92	0.3031073128
93	0.3020897717
94	0.3015843703
95	0.3004608282
96	0.2991963416
97	0.2990098371
98	0.2982791029
99	0.2966062434
