iter	MultiClass
0	1.089258627
1	1.079836027
2	1.069918801
3	1.060483321
4	1.051686399
5	1.044144593
6	1.036635823
7	1.028653226
8	1.022196979
9	1.014486623
10	1.007883411
11	1.000234848
12	0.9921460346
13	0.9843799077
14	0.9782529349
15	0.9717159886
16	0.9665657345
17	0.9605869838
18	0.9562137283
19	0.9498319467
20	0.9440586614
21	0.9398096083
22	0.93519414
23	0.9303471143
24	0.9257526949
25	0.9223803487
26	0.918620641
27	0.914257508
28	0.9095454759
29	0.9050197935
30	0.9010232308
31	0.8973251601
32	0.8929638941
33	0.889234843
34	0.8846774387
35	0.881227511
36	0.8782397386
37	0.8750637877
38	0.8715573558
39	0.8682148048
40	0.8649304415
41	0.8618469716
42	0.8584200499
43	0.8545730861
44	0.8517177042
45	0.8493187337
46	0.8469090178
47	0.8436928174
48	0.8417974335
49	0.8394800701
50	0.8372698764
51	0.8346029346
52	0.8325231476
53	0.8302941149
54	0.8280566846
55	0.8259450064
56	0.8236812095
57	0.8217741389
58	0.8199271926
59	0.8175417979
60	0.8149613091
61	0.8132165215
62	0.8111237749
63	0.8090360419
64	0.8072546661
65	0.8053388498
66	0.8039116614
67	0.8027267327
68	0.8010162013
69	0.7989505846
70	0.7970730632
71	0.7949760302
72	0.793100695
73	0.7917897015
74	0.7899838884
75	0.7883929811
76	0.7864795977
77	0.7850586324
78	0.7835190168
79	0.781126758
80	0.7800377212
81	0.7789396527
82	0.77745113
83	0.7755694384
84	0.773960395
85	0.7719857042
86	0.7708629445
87	0.7700444957
88	0.7687296373
89	0.7679052147
90	0.7663775113
91	0.765173523
92	0.7635015174
93	0.7622114261
94	0.7609631458
95	0.7599700723
96	0.7587570412
97	0.7579411868
98	0.7565952023
99	0.7547258805
