iter	Passed	Remaining
0	5	574
1	9	475
2	14	454
3	22	536
4	26	512
5	30	483
6	45	599
7	53	609
8	56	575
9	59	538
10	62	506
11	65	478
12	74	495
13	77	474
14	79	453
15	84	444
16	90	440
17	93	427
18	97	414
19	105	423
20	110	414
21	113	403
22	121	405
23	125	398
24	128	386
25	136	387
26	142	385
27	148	382
28	156	383
29	160	374
30	164	365
31	170	361
32	173	352
33	176	343
34	183	341
35	187	333
36	191	325
37	193	316
38	200	313
39	204	306
40	208	300
41	213	294
42	219	291
43	223	284
44	227	278
45	233	273
46	237	267
47	241	261
48	250	260
49	253	253
50	256	246
51	263	242
52	268	237
53	271	231
54	274	224
55	277	217
56	281	212
57	284	206
58	288	200
59	293	195
60	298	191
61	302	185
62	304	179
63	308	173
64	313	168
65	317	163
66	321	158
67	331	156
68	337	151
69	340	146
70	348	142
71	352	137
72	355	131
73	362	127
74	367	122
75	371	117
76	376	112
77	381	107
78	386	102
79	390	97
80	397	93
81	401	88
82	404	82
83	407	77
84	413	72
85	416	67
86	419	62
87	429	58
88	433	53
89	436	48
90	440	43
91	445	38
92	448	33
93	451	28
94	454	23
95	460	19
96	464	14
97	468	9
98	471	4
99	476	0
