iter	Passed	Remaining
0	4	417
1	7	350
2	12	388
3	15	383
4	18	355
5	21	343
6	24	328
7	30	356
8	34	344
9	42	382
10	47	384
11	52	385
12	55	369
13	57	355
14	63	360
15	66	349
16	69	338
17	72	330
18	77	331
19	81	324
20	85	321
21	88	312
22	90	304
23	96	304
24	98	296
25	102	292
26	106	287
27	111	286
28	117	287
29	120	280
30	123	274
31	130	277
32	141	286
33	147	285
34	151	281
35	154	274
36	162	277
37	165	270
38	168	263
39	173	260
40	179	258
41	183	253
42	187	248
43	194	247
44	197	241
45	200	235
46	205	231
47	211	229
48	216	225
49	219	219
50	227	218
51	234	216
52	242	214
53	248	211
54	253	207
55	258	203
56	262	198
57	265	192
58	269	187
59	278	185
60	281	179
61	286	175
62	292	171
63	296	166
64	299	161
65	308	158
66	311	153
67	315	148
68	321	144
69	327	140
70	339	138
71	343	133
72	346	128
73	350	123
74	357	119
75	360	113
76	363	108
77	371	104
78	375	99
79	378	94
80	382	89
81	389	85
82	393	80
83	396	75
84	400	70
85	407	66
86	409	61
87	412	56
88	417	51
89	423	47
90	429	42
91	436	37
92	440	33
93	443	28
94	447	23
95	454	18
96	457	14
97	460	9
98	463	4
99	468	0
