iter	Passed	Remaining
0	2	275
1	10	498
2	14	466
3	17	409
4	20	392
5	24	381
6	31	413
7	33	387
8	36	369
9	42	380
10	45	370
11	48	356
12	52	349
13	57	353
14	61	348
15	64	339
16	70	346
17	75	345
18	79	337
19	81	327
20	85	322
21	92	329
22	96	322
23	99	313
24	105	315
25	107	307
26	117	317
27	122	315
28	128	313
29	131	306
30	136	303
31	141	301
32	144	294
33	147	286
34	151	282
35	155	277
36	159	271
37	162	264
38	165	258
39	171	257
40	175	252
41	179	247
42	183	243
43	188	240
44	193	236
45	196	230
46	200	226
47	211	229
48	214	223
49	221	221
50	226	218
51	230	212
52	235	209
53	240	204
54	243	199
55	246	193
56	252	190
57	256	185
58	259	180
59	262	175
60	267	171
61	271	166
62	274	161
63	277	156
64	280	150
65	286	147
66	290	143
67	293	137
68	296	133
69	303	130
70	307	125
71	310	120
72	315	116
73	320	112
74	324	108
75	328	103
76	331	99
77	335	94
78	338	90
79	341	85
80	346	81
81	352	77
82	356	73
83	360	68
84	365	64
85	369	60
86	372	55
87	376	51
88	382	47
89	385	42
90	389	38
91	392	34
92	398	29
93	402	25
94	405	21
95	408	17
96	411	12
97	416	8
98	420	4
99	424	0
